Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,160.839996,160.910004,159.520004,160.039993,151.190689,2815200
2016-08-22,160.000000,160.570007,159.130005,160.000000,151.152908,2039300
2016-08-23,160.330002,161.339996,160.229996,160.259995,151.398529,2838100
2016-08-24,159.889999,160.179993,158.320007,159.050003,150.255432,3645800
2016-08-25,159.000000,159.539993,158.419998,158.630005,149.858673,2575000
2016-08-26,158.880005,160.440002,157.850006,158.320007,149.565781,2498900
2016-08-29,158.830002,160.210007,158.500000,159.720001,150.888382,2443200
2016-08-30,159.759995,160.149994,158.809998,159.399994,150.586075,1813300
2016-08-31,159.660004,159.660004,158.259995,158.880005,150.094818,2323600
2016-09-01,158.320007,159.619995,158.100006,159.539993,150.718323,2358400
2016-09-02,159.880005,160.570007,159.149994,159.550003,150.727798,2315400
2016-09-06,159.880005,160.860001,159.110001,160.350006,151.483582,2994100
2016-09-07,160.190002,161.759995,160.000000,161.639999,152.702225,2867300
2016-09-08,160.550003,161.210007,158.759995,159.000000,150.208191,3919300
2016-09-09,158.029999,158.399994,155.649994,155.690002,147.081223,5186000
2016-09-12,155.259995,158.529999,154.839996,158.289993,149.537460,4367500
2016-09-13,157.630005,157.929993,155.500000,155.809998,147.194580,3636700
2016-09-14,155.699997,155.869995,153.389999,154.050003,145.531906,3860600
2016-09-15,154.300003,156.330002,153.210007,155.660004,147.052902,3645600
2016-09-16,155.039993,155.399994,153.470001,153.839996,145.333527,6463600
2016-09-19,154.869995,156.190002,154.550003,154.869995,146.306564,2442800
2016-09-20,155.869995,156.570007,154.449997,154.449997,145.909805,2159100
2016-09-21,154.910004,155.679993,153.869995,155.529999,146.930069,2473900
2016-09-22,156.149994,157.220001,155.690002,156.110001,147.477997,2691100
2016-09-23,155.619995,156.039993,154.710007,154.979996,146.410507,2702200
2016-09-26,154.460007,154.460007,153.460007,153.979996,145.465759,2533300
2016-09-27,154.320007,156.770004,153.809998,156.770004,148.101501,2987200
2016-09-28,156.990005,158.630005,156.229996,158.289993,149.537460,3310000
2016-09-29,158.630005,165.000000,157.460007,158.110001,149.367416,3374800
2016-09-30,158.899994,159.839996,158.059998,158.850006,150.066498,3596900
2016-10-03,158.059998,158.369995,157.020004,157.610001,148.895050,2227800
2016-10-04,157.669998,158.529999,155.820007,156.460007,147.808640,2884100
2016-10-05,157.070007,157.830002,156.720001,157.080002,148.394379,1684500
2016-10-06,156.839996,157.429993,155.889999,156.880005,148.205414,1950100
2016-10-07,157.139999,157.699997,154.860001,155.669998,147.062332,2671900
2016-10-10,156.710007,158.490005,156.660004,157.020004,148.337692,2449800
2016-10-11,156.729996,156.949997,153.889999,154.789993,146.230972,2901300
2016-10-12,154.970001,154.970001,153.080002,154.289993,145.758621,2964000
2016-10-13,153.699997,154.220001,152.270004,153.720001,145.220169,2909900
2016-10-14,154.470001,155.529999,154.089996,154.449997,145.909805,4358200
2016-10-17,154.449997,155.889999,154.339996,154.770004,146.212097,5890400
2016-10-18,150.020004,151.000000,147.789993,150.720001,142.386032,12705700
2016-10-19,151.270004,152.449997,150.830002,151.259995,142.896179,4632900
2016-10-20,151.279999,152.899994,151.020004,151.520004,143.141815,4023100
2016-10-21,150.580002,151.149994,149.559998,149.630005,141.356308,4414200
2016-10-24,150.399994,151.520004,150.399994,150.570007,142.244339,2666700
2016-10-25,150.570007,151.160004,149.830002,150.880005,142.537201,2647500
2016-10-26,150.710007,152.940002,150.259995,151.809998,143.415771,2811700
2016-10-27,152.820007,154.059998,152.020004,153.350006,144.870605,4229300
2016-10-28,154.050003,154.440002,152.179993,152.610001,144.171524,3654500
2016-10-31,152.759995,154.330002,152.759995,153.690002,145.191803,3553200
2016-11-01,153.500000,153.910004,151.740005,152.789993,144.341583,3191900
2016-11-02,152.479996,153.350006,151.669998,151.949997,143.548035,3074400
2016-11-03,152.509995,153.740005,151.800003,152.369995,143.944794,2878800
2016-11-04,152.399994,153.639999,151.869995,152.429993,144.001465,2470400
2016-11-07,153.990005,156.110001,153.839996,155.720001,147.109558,3804900
2016-11-08,154.559998,155.929993,153.059998,155.169998,147.919846,3915000
2016-11-09,152.960007,155.559998,151.000000,154.809998,147.576660,5403700
2016-11-10,157.660004,161.160004,157.589996,160.220001,152.733887,7715800
2016-11-11,159.970001,161.339996,159.330002,161.270004,153.734833,4446600
2016-11-14,161.250000,161.860001,157.580002,158.210007,150.817825,5180400
2016-11-15,158.419998,159.149994,157.550003,158.669998,151.256302,3477000
2016-11-16,158.460007,159.550003,158.029999,159.289993,151.847321,2244100
2016-11-17,159.220001,159.929993,158.850006,159.800003,152.333527,2261200
2016-11-18,159.800003,160.720001,159.210007,160.389999,152.895950,2981600
2016-11-21,160.690002,163.000000,160.369995,162.770004,155.164749,4637100
2016-11-22,163.000000,163.000000,161.949997,162.669998,155.069427,2770800
2016-11-23,161.940002,162.380005,161.360001,161.979996,154.411652,2252700
2016-11-25,161.830002,163.190002,161.830002,163.139999,155.517456,1605300
2016-11-28,163.199997,164.660004,162.699997,164.520004,156.832977,4449400
2016-11-29,164.000000,164.410004,163.029999,163.529999,155.889236,3148200
2016-11-30,163.350006,163.800003,162.210007,162.220001,154.640457,4397800
2016-12-01,161.949997,162.199997,158.300003,159.820007,152.352570,4635700
2016-12-02,159.000000,160.289993,158.410004,160.020004,152.543243,2740900
2016-12-05,160.850006,161.149994,159.589996,159.839996,152.371658,3447100
2016-12-06,160.130005,160.789993,158.929993,160.350006,152.857834,2859000
2016-12-07,160.600006,165.179993,160.389999,164.789993,157.090347,4435100
2016-12-08,164.869995,166.000000,164.220001,165.360001,157.633713,3266400
2016-12-09,165.179993,166.720001,164.600006,166.520004,158.739532,3146900
2016-12-12,166.720001,166.789993,165.070007,165.500000,157.767181,3392300
2016-12-13,165.679993,169.949997,165.679993,168.289993,160.426804,5932300
2016-12-14,168.369995,169.889999,167.449997,168.509995,160.636536,4124200
2016-12-15,168.009995,169.850006,167.779999,168.020004,160.169434,3388600
2016-12-16,168.970001,169.110001,166.059998,166.729996,158.939713,6679200
2016-12-19,166.830002,167.259995,166.000000,166.679993,158.892059,2955900
2016-12-20,167.490005,168.250000,166.449997,167.600006,159.769089,2174600
2016-12-21,166.250000,167.940002,165.250000,167.330002,159.511703,3575700
2016-12-22,167.360001,168.229996,166.580002,167.059998,159.254303,2802600
2016-12-23,167.000000,167.490005,166.449997,166.710007,158.920654,1699200
2016-12-27,166.979996,167.979996,166.850006,167.139999,159.330566,1397500
2016-12-28,167.289993,167.740005,166.000000,166.190002,158.424957,1757500
2016-12-29,166.020004,166.990005,166.000000,166.600006,158.815796,1594000
2016-12-30,166.440002,166.699997,165.500000,165.990005,158.234299,2952800
2017-01-03,167.000000,167.869995,166.009995,167.190002,159.378235,2934300
2017-01-04,167.770004,169.869995,167.360001,169.259995,161.351501,3381400
2017-01-05,169.250000,169.389999,167.259995,168.699997,160.817673,2682300
2017-01-06,168.690002,169.919998,167.520004,169.529999,161.608887,2945500
2017-01-09,169.470001,169.800003,167.619995,167.649994,159.816727,3184700
2017-01-10,167.979996,168.089996,165.339996,165.520004,157.786270,4118700
2017-01-11,166.050003,167.759995,165.600006,167.750000,159.912048,3599500
2017-01-12,167.770004,168.009995,165.559998,167.949997,160.102707,2927500
2017-01-13,167.970001,168.479996,166.880005,167.339996,159.521210,2875400
2017-01-17,166.690002,168.179993,166.119995,167.889999,160.045517,3302900
2017-01-18,167.449997,168.589996,166.690002,166.800003,159.006439,4007800
2017-01-19,166.960007,167.449997,165.800003,166.809998,159.015976,6963400
2017-01-20,167.809998,170.639999,166.000000,170.550003,162.581238,12690000
2017-01-23,170.080002,171.250000,170.009995,171.029999,163.038803,5478200
2017-01-24,171.360001,176.000000,171.160004,175.899994,167.681244,6952400
2017-01-25,176.259995,179.250000,176.130005,178.289993,169.959579,5922500
2017-01-26,178.059998,178.880005,177.509995,178.660004,170.312302,3063900
2017-01-27,178.470001,179.199997,177.300003,177.300003,169.015839,3482300
2017-01-30,176.979996,177.070007,174.580002,175.800003,167.585938,4094800
2017-01-31,175.050003,175.580002,173.610001,174.520004,166.365753,4139000
2017-02-01,175.000000,175.699997,172.889999,174.289993,166.146484,2795700
2017-02-02,174.229996,174.970001,173.550003,174.580002,166.422928,2620500
2017-02-03,175.000000,176.339996,174.889999,175.820007,167.604996,3309300
2017-02-06,175.309998,175.979996,174.380005,175.860001,167.643127,2650800
2017-02-07,176.000000,178.619995,175.899994,178.460007,170.121658,3873500
2017-02-08,177.500000,177.500000,175.880005,176.169998,169.266510,2913100
2017-02-09,176.169998,177.800003,175.910004,177.210007,170.265778,3090700
2017-02-10,177.369995,178.869995,176.759995,178.679993,171.678146,2930700
2017-02-13,179.240005,179.899994,178.839996,179.360001,172.331512,3093400
2017-02-14,178.570007,180.130005,178.350006,180.130005,173.071350,2567900
2017-02-15,180.199997,181.919998,179.809998,181.679993,174.560608,2914300
2017-02-16,181.449997,182.789993,180.869995,181.429993,174.320404,3251500
2017-02-17,181.250000,181.570007,180.000000,180.669998,173.590179,3552500
2017-02-21,180.600006,180.789993,179.119995,180.259995,173.196259,4480300
2017-02-22,180.089996,181.339996,180.089996,181.149994,174.051376,3020500
2017-02-23,182.000000,182.500000,180.919998,181.649994,174.531769,2282500
2017-02-24,180.210007,181.490005,179.889999,181.350006,174.243546,3300100
2017-02-27,181.190002,181.250000,179.279999,179.399994,172.369934,3691300
2017-02-28,179.380005,180.630005,179.350006,179.820007,172.773499,3273400
2017-03-01,180.479996,182.550003,180.029999,181.949997,174.820038,3005600
2017-03-02,181.880005,181.880005,180.429993,180.529999,173.455673,2918200
2017-03-03,180.529999,181.320007,179.759995,180.050003,172.994492,1822000
2017-03-06,179.720001,180.990005,179.570007,180.470001,173.398041,3204400
2017-03-07,180.710007,181.289993,180.199997,180.380005,173.311554,2980500
2017-03-08,180.750000,180.949997,179.300003,179.449997,172.417984,3557400
2017-03-09,179.149994,179.250000,175.880005,177.179993,170.236938,5444100
2017-03-10,178.210007,179.490005,177.419998,177.830002,170.861481,3100300
2017-03-13,177.850006,178.059998,176.419998,176.460007,169.545181,3482200
2017-03-14,176.179993,176.820007,175.210007,175.720001,168.834167,3147500
2017-03-15,175.710007,176.279999,174.750000,175.809998,168.920624,3815500
2017-03-16,178.460007,179.000000,176.820007,177.240005,170.294601,4311800
2017-03-17,176.289993,176.789993,175.649994,175.649994,168.766907,5921000
2017-03-20,175.649994,176.179993,175.139999,175.699997,168.814941,2476100
2017-03-21,176.009995,176.229996,173.839996,173.880005,167.066284,3927700
2017-03-22,174.039993,175.059998,172.800003,174.779999,167.931000,3450500
